id,tau_days,p_days,tau_length,p_length,tau,p,lon,lat,p_days_adj,p_length_adj,p_number_adj,days_sig,length_sig,num_sig
03028,0.26099658012390137,0.0407792329788208,0.1959151178598404,0.139978289604187,0.3086015284061432,0.030246973037719727,8.8388,51.7854,0.056203502447493954,0.19547617622695043,0.10669094324111938,0,0,0
03032,0.035054370760917664,0.7961077690124512,0,1,0.12271640449762344,0.408435583114624,8.4125,55.011,0.8207932812298916,1,0.50298085698375,0,0,0
03034,0.43398118019104004,0.00062656402587890625,0.3041999340057373,0.024118423461914063,0.24261339008808136,0.09669756889343262,11.635,50.4505,0.0031446420921469637,0.062441128604816945,0.21614750693826115,1,0,0
03093,0.35793337225914,0.004694938659667969,0.23840773105621338,0.07391214370727539,0.21850818395614624,0.12984085083007813,11.1374,52.9724,0.0112952133556744,0.12287893891334534,0.2455958998795097,1,0,0
03126,0.3992982506752014,0.001446843147277832,0.2623431086540222,0.04761040210723877,0.32720527052879333,0.021419525146484375,11.5827,52.1029,0.00553686088985867,0.09381012563352231,0.09918069070385348,1,0,0
03137,0.08094742894172668,0.5280699729919434,0.04920926317572594,0.720596432685852,0.12138025462627411,0.3963876962661743,8.2049,49.9658,0.5596279395054061,0.7487447308376431,0.49501937655775763,0,0,0
03147,0.2858843207359314,0.08264756202697754,0.1635889708995819,0.34936273097991943,0.25232604146003723,0.17533087730407715,12.2118,48.7548,0.10175121984174175,0.40056244155456283,0.28852265098212676,0,0,0
03155,0.2360885590314865,0.0660860538482666,0.12291818112134933,0.35627055168151855,0.2026100605726242,0.15604650974273682,6.8009,50.1015,0.0837090015411377,0.40672947101838597,0.2719898054676671,0,0,0
03164,0.5744132995605469,5.996227264404297e-5,0.49584558606147766,8.417367935180664e-4,0.4694578945636749,0.0031714439392089844,8.7745,50.8492,0.0011392831802368164,0.01178431510925293,0.05050645934210884,1,1,0
03166,0.349895179271698,0.006396174430847168,0.2519006133079529,0.05939328670501709,0.13160711526870728,0.36767828464508057,13.1469,50.6511,0.014061011558721873,0.10895596043816927,0.47708499373459234,1,0,0
